rank,headline,url,section,published,summary,thumbnail
1,Our 10 favorite scenes from T2: Judgment Day,https://arstechnica.com/culture/2026/08/our-10-favorite-scenes-from-t2-judgment-day/,Culture,2026-08-28T12:44:47-04:00,James Cameron’s 1991 sci-fi blockbuster returns to theaters this weekend for its 35th anniversary.,thumbnails/2168731.jpg
2,"Court rules Kalshi sports bets aren’t “swaps,” just gambling with a different name",https://arstechnica.com/tech-policy/2026/08/kalshi-cant-evade-nevada-gambling-laws-by-calling-bets-swaps-court-rules/,Tech Policy,2026-08-28T18:14:52-04:00,"Kalshi can’t evade Nevada gambling laws by calling bets “swaps,” judges rule.",thumbnails/2169698.jpg
3,Cities terminate Flock contracts at record pace in August,https://arstechnica.com/tech-policy/2026/08/cities-terminate-flock-contracts-at-record-pace-in-august/,Tech Policy,2026-08-28T17:33:54-04:00,Cancellations have accelerated.,thumbnails/2169676.jpg
4,"“RFK Jr. has lied to the Senate”: Lawmakers call for criminal probe, ouster",https://arstechnica.com/health/2026/08/rfk-jr-has-lied-to-the-senate-lawmakers-call-for-criminal-probe-ouster/,Health,2026-08-28T17:17:38-04:00,RFK Jr. went to Samoa to spread vaccine fears. The measles outbreak after killed 83.,thumbnails/2169673.jpg
5,Trump blacklisting of “woke” Anthropic deemed illegal by federal judge,https://arstechnica.com/tech-policy/2026/08/trump-blacklisting-of-woke-anthropic-deemed-illegal-by-federal-judge/,AI,2026-08-28T14:07:55-04:00,Anthropic refused to support lethal autonomous warfare and mass surveillance.,thumbnails/2169639.jpg
6,Here’s what we know about the “space academy” Trump just announced,https://arstechnica.com/space/2026/08/trump-calls-for-creation-of-a-space-academy-to-train-future-nasa-leaders/,Space,2026-08-28T13:36:30-04:00,“It’s called the US Space Academy. That’s a big deal.”,thumbnails/2169581.jpg
7,Apple One and Apple TV subscription prices increase by up to 20 percent,https://arstechnica.com/gadgets/2026/08/apple-one-and-apple-tv-subscription-prices-increase-by-up-to-20-percent/,Apple,2026-08-28T13:23:53-04:00,Annual Apple TV subscriptions get the biggest bump.,thumbnails/2169628.jpg
8,Meta makes AI glasses slightly less creepy with limit on nonconsensual recording,https://arstechnica.com/tech-policy/2026/08/meta-tweaks-ai-glasses-to-block-some-creepy-recordings-but-privacy-risks-remain/,AI,2026-08-28T11:42:24-04:00,Meta fixes AI glasses to stop recording any time users cover up the safety light.,thumbnails/2169569.jpg
9,Authorities arrest 2 alleged members of prolific hacking group TeamPCP,https://arstechnica.com/security/2026/08/authorities-arrest-2-alleged-members-of-prolific-hacking-group-teampcp/,Information Technology,2026-08-28T07:15:05-04:00,"The group infected more than 1,000 organizations in a relentless supply-chain attack campaign.",thumbnails/2169528.jpg
10,Rocket Report: Europe splashes some cash on launch startups; Pallas-1 nears debut,https://arstechnica.com/space/2026/08/rocket-report-europe-splashes-some-cash-on-launch-startups-pallas-1-nears-debut/,Space,2026-08-28T07:00:39-04:00,"“From here on, Starlink missions out of Florida will fly on Starship.”",thumbnails/2169345.jpg
