rank,headline,url,section,published,summary,label,thumbnail
1,‘HEARTBREAKING’: Former Bondi Rescue lifeguard dies,https://www.news.com.au/entertainment/tv/reality-tv/former-bondi-rescue-star-matt-dee-dies/news-story/7e77ca16f100662ff94eac13fde8e46f,,2026-09-02T14:09:37+10:00,A former Bondi Rescue lifeguard and youth mental health advocate who “touched the lives of many” has died.,Breaking,thumbnails/90053e80f2213ef65489a5937fdc729a.jpg
2,Details drop as AFL coach sacked on the spot,https://www.news.com.au/sport/afl/afl-premiership-coach-alastair-clarkson-leaves-north-melbourne/news-story/ab0786badf4440d2ee5f3bc8a461dcc1,AFL,2026-09-02T14:30:00+10:00,North Melbourne officials have made scathing remarks about Alastair Clarkson’s coaching after sacking him in a bombshell decision.,Breaking,thumbnails/ab0786badf4440d2ee5f3bc8a461dcc1.jpg
3,‘F**king enough’: Salon owner erupts at Albo,https://www.news.com.au/finance/economy/australian-economy/fking-enough-hugely-popular-salon-owner-erupts-at-the-government-says-shes-close-to-packing-it-in/news-story/44b04cdecddfbd3abc9ada5ac980eaaf,Australian Economy,2026-09-02T11:16:00+10:00,A massively popular Aussie hairdresser has gone scorched earth on the government as she seriously considers closing her doors for good.,,thumbnails/44b04cdecddfbd3abc9ada5ac980eaaf.jpg
4,‘Rich Dad Poor Dad’ author in $1.7 billion debt,https://www.news.com.au/finance/money/wealth/rich-dad-poor-dad-selfhelp-author-robert-kiyosaki-is-17-billion-in-debt-report/news-story/c18da8aa80e0a0b110f13851d3486e95,Wealth,2026-09-02T14:07:00+10:00,"The author of the biggest-selling financial self-help book of all time, selling over 40 million copies, has revealed he is in $1.7 billion of debt.",,thumbnails/c18da8aa80e0a0b110f13851d3486e95.jpg
5,‘Barely covered’: Star stuns at US Open,https://www.news.com.au/lifestyle/fashion/us-open-2026-glamorous-influencers-lead-wild-courtside-fashion-in-new-york/image-gallery/86f27dd05dd03b79423b6e5fabaf7e0c,Fashion,2026-09-02T09:52:00+10:00,"The world’s biggest social media personalities have officially taken over the 2026 US Open, turning heads with daring courtside style.",,thumbnails/86f27dd05dd03b79423b6e5fabaf7e0c.jpg
6,﻿Uber driver named after alleged sex act,https://www.news.com.au/national/nsw-act/crime/sydney-rideshare-driver-charged-over-alleged-sex-act-during-trip/news-story/e93b9f1b187a55e41f717f540c16feda,NSW & ACT Crime,2026-09-02T07:59:00+10:00,"New details have been revealed in court after an Uber driver was accused of performing a sex act while a young, female passenger was inside his car.",UPDATED,thumbnails/e93b9f1b187a55e41f717f540c16feda.jpg
7,Thousands of sheep stolen in $1.7m heist,https://www.news.com.au/national/queensland/crime/thieves-steal-5500-sheep-worth-17m-in-heartless-qld-outback-heist/news-story/4ab9e9df83417848d8b62a41c93aca26,QLD Crime,2026-09-02T14:06:00+10:00,Police have launched an investigation after 5500 dorper sheep worth more than $1.7m were stolen from an outback farm.,,thumbnails/4ab9e9df83417848d8b62a41c93aca26.jpg
8,Dire ASX scenes as several countries attacked,https://www.news.com.au/finance/markets/ugly-scenes-on-asx-over-gfclike-trend/news-story/0662a1abc742ea37021439aa300a086c,Markets,2026-09-02T13:58:00+10:00,The ASX is being hammered as the Middle East conflict spreads to new nations and a concerning trend reminiscent of the GFC emerges.,,thumbnails/0662a1abc742ea37021439aa300a086c.jpg
9,‘Disgusting’: Public feud erupts over hit show,https://www.news.com.au/entertainment/tv/debi-mazar-says-entourage-set-was-toxic-testosteronefuelled-after-she-welcomed-second-child/news-story/71de5a3b8d2e3a540cc67da9a5538163,Television,2026-09-02T13:11:00+10:00,"This star of a hit TV show has labelled her treatment on-set as “toxic” – but now the creator has hit back, calling her claims “disgusting.”",Breaking,thumbnails/71de5a3b8d2e3a540cc67da9a5538163.jpg
10,‘Shame’: Andrew accused of US sex crimes,https://www.news.com.au/entertainment/celebrity-life/royals/former-prince-andrew-accused-of-committing-sex-crimes-by-us-congressman/news-story/e76b4efbb9562437052e79b8d4baccca,Royals,2026-09-02T12:50:00+10:00,"A Congressman has accused Andrew Mountbatten-Windsor of committing sex crimes in the US, as calls for additional Epstein documents continue.",,thumbnails/e76b4efbb9562437052e79b8d4baccca.jpg
